No,わざ,タイプ,威力,エネルギー充填,秒数,ダメージ発生時間(秒):開始,ダメージ発生時間(秒):終了,威力,PvPエネルギー充填,ターン数,追加効果,発生確率
013,まきつく,ノーマル,60,33,2.9,2.05,2.7,60,45,,
014,はかいこうせん,ノーマル,150,100,3.8,3.3,3.6,150,80,,
016,あくのはどう,あく,80,50,3,1.4,2.3,80,50,,
018,ヘドロこうげき,どく,50,33,2.1,1.2,1.55,50,40,,
020,はさむ,ノーマル,35,33,1.9,1.1,1.5,40,40,,
021,かえんぐるま,ほのお,60,50,2.7,2.1,2.4,60,55,,
022,メガホーン,むし,110,100,2.2,1.7,1.9,110,55,,
024,かえんほうしゃ,ほのお,70,50,2.2,1.5,1.7,90,55,,
026,あなをほる,じめん,100,50,4.7,2.8,4.5,80,50,,
028,クロスチョップ,かくとう,50,50,1.5,0.8,1.2,50,35,,
030,サイケこうせん,エスパー,70,50,3.2,1.3,2.7,70,60,,
031,じしん,じめん,140,100,3.6,2.7,3.5,110,65,,
032,ストーンエッジ,いわ,100,100,2.3,0.7,2.1,100,55,,
033,れいとうパンチ,こおり,50,33,1.9,1.3,1.6,55,40,,
034,ハートスタンプ,エスパー,40,33,1.9,1.1,1.6,40,40,,
035,ほうでん,でんき,65,33,2.5,1.7,2.1,65,45,,
036,ラスターカノン,はがね,100,100,2.7,1.6,2.5,110,70,,
038,ドリルくちばし,ひこう,65,33,2.3,1.7,2.1,65,40,,
039,れいとうビーム,こおり,90,50,3.3,1.3,2.8,90,55,,
040,ふぶき,こおり,130,100,3.1,1.5,2.9,140,75,,
042,ねっぷう,ほのお,95,100,3,1.7,2.8,95,75,,
045,つばめがえし,ひこう,55,33,2.4,1.9,2.2,55,40,,
046,ドリルライナー,じめん,80,50,2.8,1.7,2.6,80,45,,
047,はなふぶき,くさ,110,100,2.6,1.7,2.3,110,65,,
048,メガドレイン,くさ,25,50,2.6,0.95,2,25,55,,
049,むしのさざめき,むし,100,50,3.7,2,3.1,100,60,相手の防御-1,30%
050,どくどくのキバ,どく,35,33,1.7,0.9,1.4,45,40,相手の防御-1,100%
051,つじぎり,あく,50,33,2.2,1.3,2,50,35,自分の攻撃+2,12.5%
053,バブルこうせん,みず,45,33,1.9,1.45,1.7,25,40,相手の攻撃-1,100%
054,じごくぐるま,かくとう,60,50,2.2,1.8,2,60,50,,
056,ローキック,かくとう,40,33,1.9,1.3,1.65,40,40,,
057,アクアジェット,みず,45,33,2.6,1.7,2.1,45,45,,
058,アクアテール,みず,50,33,1.9,1.2,1.65,50,35,,
059,タネばくだん,くさ,55,33,2.1,1.2,1.9,60,45,,
060,サイコショック,エスパー,65,33,2.7,2,2.6,70,45,,
062,げんしのちから,いわ,70,33,3.5,2.85,3.1,60,45,自分の攻撃+1自分の防御+1,10%
063,がんせきふうじ,いわ,70,50,3.2,2.25,3,70,60,相手の攻撃-1,100%
064,いわなだれ,いわ,80,50,2.7,1.5,2.6,75,45,,
065,パワージェム,いわ,80,50,2.9,1.95,2.7,80,60,,
066,かげうち,ゴースト,50,33,2.9,2.2,2.7,50,45,,
067,シャドーパンチ,ゴースト,40,33,1.7,1.3,1.5,40,35,,
069,あやしいかぜ,ゴースト,50,33,2.3,1.85,2.1,45,45,自分の攻撃+1自分の防御+1,10%
070,シャドーボール,ゴースト,100,50,3,2.4,2.8,100,55,,
072,マグネットボム,はがね,70,33,2.8,2.2,2.6,70,45,,
074,アイアンヘッド,はがね,60,50,1.9,1.3,1.7,70,50,,
075,パラボラチャージ,でんき,65,50,2.8,1.2,2.4,65,55,,
077,かみなりパンチ,でんき,45,33,1.8,1.7,1.55,55,40,,
078,かみなり,でんき,100,100,2.4,1.2,2.2,100,60,,
079,10まんボルト,でんき,80,50,2.5,1.8,2.3,90,55,,
080,たつまき,ドラゴン,45,33,2.8,0.95,2.6,45,45,,
082,りゅうのはどう,ドラゴン,90,50,3.6,2.15,3.3,90,60,,
083,ドラゴンクロー,ドラゴン,50,33,1.7,1.1,1.3,50,35,,
084,チャームボイス,フェアリー,70,33,3.9,3.2,3.5,70,45,,
085,ドレインキッス,フェアリー,60,50,2.6,1,1.3,60,55,,
086,マジカルシャイン,フェアリー,100,50,3.5,2.1,3.3,110,70,,
087,ムーンフォース,フェアリー,130,100,3.9,2.2,3.7,110,60,相手の攻撃-1,10%
088,じゃれつく,フェアリー,90,50,2.9,1.3,2.7,90,60,,
089,クロスポイズン,どく,40,33,1.5,0.9,1.3,50,35,自分の攻撃+2,12.5%
090,ヘドロばくだん,どく,80,50,2.3,1.1,2.1,80,50,,
091,ヘドロウェーブ,どく,110,100,3.2,2,3,110,65,,
092,ダストシュート,どく,130,100,3.1,1.7,2.7,130,75,,
094,ホネこんぼう,じめん,40,33,1.6,1,1.4,40,35,,
095,じならし,じめん,80,50,3.5,2.6,3.1,80,60,,
096,どろばくだん,じめん,55,33,2.3,1.7,2.1,60,40,,
099,シグナルビーム,むし,75,50,2.9,1.8,2.6,75,55,相手の攻撃-1相手の防御-1,20%
100,シザークロス,むし,45,33,1.6,1.2,1.4,65,40,,
101,ニトロチャージ,ほのお,70,33,3.8,2.9,3.45,65,50,自分の攻撃+1,100%
102,はじけるほのお,ほのお,70,50,2.6,1,2.1,70,55,,
103,だいもんじ,ほのお,140,100,4.2,3.1,3.9,140,80,,
104,しおみず,みず,60,50,2.3,1.5,2.1,60,50,,
105,みずのはどう,みず,70,50,3.2,2.2,2.9,70,60,,
106,ねっとう,みず,80,50,3.7,1.3,3.4,80,50,相手の防御-1,30%
107,ハイドロポンプ,みず,130,100,3.3,0.9,3,130,75,,
108,サイコキネシス,エスパー,90,50,2.8,1.3,2.6,85,55,相手の防御-1,10%
109,サイコブレイク,エスパー,90,50,2.3,1,2,90,45,,
111,こごえるかぜ,こおり,60,33,3.3,2,2.8,60,45,相手の攻撃-1,100%
114,ギガドレイン,くさ,50,100,3.9,1.2,2.2,50,80,,
115,ほのおのパンチ,ほのお,55,33,2.2,1.5,1.9,55,40,,
116,ソーラービーム,くさ,180,100,4.9,2.7,4.7,150,80,,
117,リーフブレード,くさ,70,33,2.4,1.25,2.2,70,35,,
118,パワーウィップ,くさ,90,50,2.6,1.25,2.35,90,50,,
121,エアカッター,ひこう,60,50,2.7,1.8,2.5,60,55,,
122,ぼうふう,ひこう,110,100,2.7,1.2,2.4,110,65,,
123,かわらわり,かくとう,40,33,1.6,0.8,1.4,40,35,,
125,スピードスター,ノーマル,60,50,2.8,2,2.6,60,55,,
126,つのでつく,ノーマル,40,33,1.85,0.8,1.65,40,35,,
127,ふみつけ,ノーマル,55,50,1.7,1.1,1.5,55,40,,
129,ひっさつまえば,ノーマル,80,50,2.5,1.5,2,80,50,,
131,のしかかり,ノーマル,50,33,1.9,1.2,1.7,60,35,,
132,ねむる,ノーマル,50,33,1.9,1.5,1.7,50,35,,
133,わるあがき,ノーマル,35,0,2.2,1.2,2,35,100,,
134,ねっとう(カメックス),みず,50,100,4.7,2.5,4.6,50,80,,
135,ハイドロポンプ(カメックス),みず,90,100,4.5,2.2,4.3,90,80,,
136,まきつく(緑),ノーマル,25,33,2.9,2.05,2.7,25,45,,
137,まきつく(ピンク),ノーマル,25,33,2.9,2.05,2.7,25,45,,
245,インファイト,かくとう,100,100,2.3,1,2.3,100,45,自分の防御-2,100%
246,ばくれつパンチ,かくとう,90,50,2.7,1.2,2.7,90,50,,
247,きあいだま,かくとう,140,100,3.5,3,3.5,150,75,,
248,オーロラビーム,こおり,80,50,3.55,3.35,3.55,80,60,,
251,ワイルドボルト,でんき,90,50,2.6,1.7,2.1,100,45,自分の防御-2,100%
252,でんじほう,でんき,140,100,3.7,3,3.5,150,80,相手の攻撃-1,66%
254,ゆきなだれ,こおり,90,50,2.7,1.7,2.1,90,45,,
256,ブレイブバード,ひこう,130,100,2,1,1.6,130,55,自分の防御-3,100%
257,ゴッドバード,ひこう,80,50,2,1.5,1.7,75,50,,
258,すなじごく,じめん,60,33,4,1.7,4,25,40,相手の防御-1,100%
259,ロックブラスト,いわ,50,33,2.1,1.6,2,50,40,,
262,ぎんいろのかぜ,むし,70,33,3.7,1.7,3.5,60,45,自分の攻撃+1自分の防御+1,10%
265,ナイトヘッド,ゴースト,60,50,2.6,2.1,2.5,60,55,,
267,ジャイロボール,はがね,80,50,3.3,3,3.3,80,60,,
268,ヘビーボンバー,はがね,70,50,2.1,1.5,1.9,70,50,,
270,オーバーヒート,ほのお,160,100,4,2.6,3.8,130,55,自分の攻撃-2,100%
272,くさむすび,くさ,90,50,2.6,1.7,2.6,90,50,,
273,エナジーボール,くさ,90,50,3.9,3,3.8,90,55,相手の防御-1,10%
275,みらいよち,エスパー,120,100,2.7,1.4,2.7,120,65,,
276,ミラーコート,エスパー,60,50,2.6,2.3,2.5,60,55,,
277,げきりん,ドラゴン,110,50,3.9,2.5,3.7,110,60,,
279,かみくだく,あく,70,33,3.2,1.3,3,70,45,相手の防御-1,30%
280,イカサマ,あく,70,50,2,1.7,1.9,70,45,,
284,なみのり,みず,65,50,1.7,1.4,1.6,65,40,,
285,りゅうせいぐん,ドラゴン,150,100,3.6,3,3.5,150,65,自分の攻撃-2,100%
286,はめつのねがい,はがね,70,33,1.7,1.4,1.6,75,40,,
